ID,Payment,Session
3902,180,10/17/17 11:00
2964,30,10/17/17 11:00
4435,145,10/17/17 11:00
2945,210,10/17/17 11:00
3912,125,10/17/17 11:00
3548,70,10/17/17 11:00
3248,0,10/17/17 11:00
1066,30,10/17/17 11:00
4354,80,10/17/17 11:00
3516,90,10/17/17 11:00
1110,170,10/17/17 11:00
4532,70,10/17/17 11:00
3915,145,10/17/17 11:00
1430,105,10/17/17 11:00
3933,30,10/17/17 11:00
4386,65,10/17/17 11:00
3934,160,10/17/17 11:00
4526,120,10/17/17 11:00
3778,95,10/17/17 11:00
3772,230,10/17/17 11:00
2960,0,10/18/17 11:00
1023,0,10/18/17 11:00
2565,65,10/18/17 11:00
4459,30,10/18/17 11:00
2185,130,10/18/17 11:00
4460,100,10/18/17 11:00
3965,85,10/18/17 11:00
4474,170,10/18/17 11:00
1822,0,10/18/17 11:00
4540,65,10/18/17 11:00
3938,135,10/18/17 11:00
2952,105,10/18/17 11:00
3827,105,10/18/17 11:00
3408,135,10/18/17 11:00
4510,110,10/18/17 11:00
2931,75,10/18/17 11:00
3822,100,10/18/17 11:00
4261,210,10/18/17 11:00
1107,30,10/18/17 11:00
4466,85,10/18/17 11:00
4533,30,10/18/17 11:00
3862,120,10/18/17 11:00
4368,75,10/18/17 15:00
3451,75,10/18/17 15:00
4205,70,10/18/17 15:00
4282,170,10/18/17 15:00
4544,160,10/18/17 15:00
3998,105,10/18/17 15:00
4472,0,10/18/17 15:00
4449,160,10/18/17 15:00
4370,145,10/18/17 15:00
4453,80,10/18/17 15:00
4427,0,10/18/17 15:00
4477,150,10/18/17 15:00
2380,60,10/18/17 15:00
3916,95,10/18/17 15:00
3205,120,10/18/17 15:00
1087,105,10/18/17 15:00
4420,120,10/18/17 15:00
4443,110,10/18/17 15:00
4482,140,10/18/17 15:00
4527,160,10/18/17 15:00
4424,80,10/18/17 15:00
4062,30,10/18/17 15:00
4430,230,10/18/17 15:00
3870,180,10/18/17 15:00
3202,30,10/18/17 15:00
3321,0,10/18/17 15:00
3858,55,10/18/17 15:00
4537,95,10/18/17 15:00
3834,90,10/18/17 15:00
0,30,10/18/17 15:00
2172,30,10/18/17 17:00
4428,0,10/18/17 17:00
3954,30,10/18/17 17:00
4501,115,10/18/17 17:00
1011,210,10/18/17 17:00
3806,55,10/18/17 17:00
1311,130,10/18/17 17:00
3871,210,10/18/17 17:00
4498,195,10/18/17 17:00
3866,120,10/18/17 17:00
3907,55,10/18/17 17:00
4478,70,10/18/17 17:00
1086,180,10/18/17 17:00
3572,120,10/18/17 17:00
3469,30,10/18/17 17:00
4077,140,10/18/17 17:00
1295,135,10/18/17 17:00
3844,70,10/18/17 17:00
4437,155,10/18/17 17:00
4499,125,10/18/17 17:00
4522,0,10/19/17 15:00
3228,90,10/19/17 15:00
4469,95,10/19/17 15:00
3766,130,10/19/17 15:00
4415,105,10/19/17 15:00
3770,220,10/19/17 15:00
2201,95,10/19/17 15:00
3792,110,10/19/17 15:00
4411,85,10/19/17 15:00
3323,80,10/19/17 15:00
3993,60,10/19/17 15:00
4484,0,10/19/17 15:00
4135,0,10/19/17 15:00
2602,110,10/19/17 15:00
1820,150,10/19/17 15:00
1362,120,10/19/17 15:00
3846,55,10/19/17 15:00
3519,90,10/19/17 15:00
3861,140,10/19/17 15:00
4003,170,10/19/17 15:00
4476,230,10/19/17 15:00
2300,65,10/19/17 15:00
2227,135,10/19/17 15:00
4416,95,10/19/17 15:00
4451,0,10/19/17 15:00
3951,75,10/19/17 15:00
4404,115,10/19/17 15:00
3337,0,10/19/17 15:00
4400,0,10/19/17 15:00
4519,110,10/19/17 15:00
1,30,10/19/17 15:00
2149,80,10/19/17 17:00
4490,60,10/19/17 17:00
2992,100,10/19/17 17:00
3493,90,10/19/17 17:00
3212,135,10/19/17 17:00
3421,130,10/19/17 17:00
3093,80,10/19/17 17:00
4412,195,10/19/17 17:00
4283,60,10/19/17 17:00
4503,65,10/19/17 17:00
3545,90,10/19/17 17:00
3799,65,10/19/17 17:00
4542,95,10/19/17 17:00
4406,185,10/19/17 17:00
3652,50,10/19/17 17:00
3864,30,10/19/17 17:00
1058,95,10/19/17 17:00
4468,75,10/19/17 17:00
3197,65,10/19/17 17:00
2874,75,10/19/17 17:00
4407,0,10/19/17 17:00
4523,90,10/19/17 17:00
1284,0,10/19/17 17:00
2899,0,10/19/17 17:00
3886,55,10/19/17 17:00
4413,75,10/19/17 17:00
3520,105,10/19/17 17:00
4441,95,10/19/17 17:00
2,30,10/19/17 17:00